thread-root,total-thread-count,matrix-width,matrix-size,copy-to-device[ms],bandwidth-to-device[GB/s],copy-from-device[ms],bandwidth-from-device[GB/s],kernel-matrix-multiplication[ms],cpu-matrix-multiplication[ms],speedup-kernel,speedup-overall
         9,        81,      1700,   2890000,    3.9146,   5.90609,   1.76429,    6.5522,   269.199,   4196.13,   15.5875,   15.2654
         9,        81,      1800,   3240000,   4.35748,   5.94839,   1.97668,   6.55644,   318.548,   4904.63,   15.3968,   15.0966
         9,        81,      1900,   3610000,   4.85203,   5.95214,   2.20081,   6.56122,   380.388,   5856.99,   15.3974,   15.1171
         9,        81,      2000,   4000000,   5.36531,   5.96425,   2.43729,   6.56466,   461.173,   6695.62,   14.5187,   14.2771
         9,        81,      2100,   4410000,   5.91266,   5.96686,    2.6969,   6.54084,   521.943,   7924.16,   15.1821,   14.9357
        10,       100,      1700,   2890000,   3.89337,    5.9383,   1.76283,   6.55765,   266.457,   4197.69,   15.7537,   15.4263
        10,       100,      1800,   3240000,   4.37424,    5.9256,   1.97494,   6.56223,   323.035,   4911.83,   15.2053,   14.9122
        10,       100,      1900,   3610000,   4.84568,   5.95995,   2.20108,    6.5604,   376.686,   5856.78,   15.5482,   15.2627
        10,       100,      2000,   4000000,   5.36796,    5.9613,   2.43659,   6.56654,   455.766,   6688.49,   14.6753,   14.4282
        10,       100,      2100,   4410000,   5.90798,   5.97159,   2.68356,   6.57336,   530.138,   7921.25,   14.9419,   14.7036
        11,       121,      1700,   2890000,   3.89358,   5.93798,   1.76283,   6.55765,    232.94,   4178.76,   17.9392,   17.5139
        11,       121,      1800,   3240000,   4.35747,    5.9484,   1.97473,   6.56293,   277.465,   4906.69,    17.684,   17.2894
        11,       121,      1900,   3610000,   4.85084,   5.95361,   2.20053,   6.56206,   331.649,   5852.95,    17.648,   17.2806
        11,       121,      2000,   4000000,   5.36558,   5.96394,   2.43653,   6.56673,   399.264,   6695.51,   16.7696,   16.4482
        11,       121,      2100,   4410000,   5.91231,   5.96721,   2.68523,   6.56926,    461.68,    7918.1,   17.1506,   16.8371
        12,       144,      1700,   2890000,   3.89505,   5.93574,   1.76429,    6.5522,   227.909,   4201.48,   18.4349,   17.9882
        12,       144,      1800,   3240000,   4.35817,   5.94745,   1.97438,    6.5641,   267.992,   4909.65,   18.3201,   17.8972
        12,       144,      1900,   3610000,   4.84721,   5.95806,   2.20116,   6.56018,   317.559,   5852.54,   18.4298,   18.0296
        12,       144,      2000,   4000000,   5.37815,      5.95,   2.43869,   6.56089,   381.231,   6699.93,   17.5745,   17.2213
        12,       144,      2100,   4410000,   5.91182,   5.96771,    2.6853,   6.56909,   442.355,    7925.7,    17.917,   17.5755
        13,       169,      1700,   2890000,   3.89442,    5.9367,   1.76534,   6.54832,   323.221,   4181.68,   12.9375,   12.7149
        13,       169,      1800,   3240000,   4.35607,   5.95032,   1.97577,   6.55946,   383.669,   4913.15,   12.8057,   12.5978
        13,       169,      1900,   3610000,   4.84965,   5.95506,   2.19983,   6.56414,   457.242,   5849.15,   12.7922,    12.598
        13,       169,      2000,   4000000,   5.36719,   5.96216,    2.4352,   6.57029,   539.882,   6693.07,   12.3973,   12.2207
        13,       169,      2100,   4410000,   5.91106,   5.96847,   2.68684,   6.56533,   625.468,   7917.67,   12.6588,   12.4871
        14,       196,      1700,   2890000,   3.89477,   5.93617,    1.7645,   6.55142,   246.096,   4179.77,   16.9843,   16.6025
        14,       196,      1800,   3240000,   4.35733,   5.94859,   1.97528,   6.56108,    285.36,    4910.1,   17.2067,   16.8331
        14,       196,      1900,   3610000,   4.84428,   5.96167,   2.20011,   6.56331,   332.156,   5848.07,   17.6064,   17.2407
        14,       196,      2000,   4000000,   5.36384,   5.96588,   2.43604,   6.56804,    403.52,   6693.75,   16.5884,   16.2738
        14,       196,      2100,   4410000,   5.92886,   5.95055,   2.69222,   6.55221,   475.726,   7922.59,   16.6537,   16.3573
        15,       225,      1700,   2890000,   3.90029,   5.92777,   1.76353,   6.55505,   296.381,   4178.17,   14.0973,   13.8329
        15,       225,      1800,   3240000,   4.35887,   5.94649,   1.97438,   6.56409,   350.274,    4912.5,   14.0248,   13.7757
        15,       225,      1900,   3610000,   4.85112,   5.95327,   2.20088,   6.56102,    420.23,   5862.48,   13.9506,   13.7204
        15,       225,      2000,   4000000,   5.36753,   5.96177,   2.43778,   6.56335,   504.454,   6706.88,   13.2953,   13.0927
        15,       225,      2100,   4410000,   5.91007,   5.96947,   2.68461,   6.57079,   581.472,   7928.57,   13.6353,   13.4367
        16,       256,      1700,   2890000,   3.91195,    5.9101,   1.76268,   6.55818,    195.24,   4186.19,   21.4413,   20.8357
        16,       256,      1800,   3240000,   4.36034,   5.94449,   1.97466,   6.56317,   222.679,      4906,   22.0317,   21.4222
        16,       256,      1900,   3610000,   4.84959,   5.95515,   2.20053,   6.56206,   276.297,   5850.79,   21.1757,   20.6488
        16,       256,      2000,   4000000,   5.36648,   5.96293,   2.43764,   6.56372,   305.693,   6695.52,   21.9027,   21.3575
        16,       256,      2100,   4410000,   5.91307,   5.96644,   2.68454,   6.57096,   381.099,   7926.29,   20.7985,   20.3397
        17,       289,      1700,   2890000,   3.91418,   5.90672,   1.76345,   6.55533,   224.585,   4183.76,   18.6288,   18.1695
        17,       289,      1800,   3240000,    4.3625,   5.94154,   1.97668,   6.55644,   268.709,   4912.96,   18.2836,   17.8622
        17,       289,      1900,   3610000,   4.84707,   5.95824,   2.19955,   6.56497,   323.125,   5849.74,   18.1036,   17.7173
        17,       289,      2000,   4000000,   5.36593,   5.96355,   2.43534,   6.56994,   390.324,   6694.45,    17.151,    16.815
        17,       289,      2100,   4410000,   5.90993,   5.96961,   2.68363,   6.57319,   453.586,   7915.82,   17.4517,   17.1272
        18,       324,      1700,   2890000,    3.8942,   5.93703,   1.76275,   6.55792,   210.278,   4178.15,   19.8697,   19.3491
        18,       324,      1800,   3240000,   4.36034,   5.94449,   1.97529,   6.56107,   246.995,   4905.67,   19.8614,   19.3647
        18,       324,      1900,   3610000,   4.84825,   5.95678,   2.20081,   6.56123,   296.842,   5850.19,   19.7081,   19.2509
        18,       324,      2000,   4000000,   5.36635,   5.96308,   2.43953,   6.55864,   365.137,   6701.26,   18.3527,   17.9686
        18,       324,      2100,   4410000,   5.90916,   5.97039,    2.6846,   6.57081,   417.575,   7922.52,   18.9727,   18.5901
        19,       361,      1700,   2890000,   3.89498,   5.93584,   1.76345,   6.55532,   221.375,   4204.36,    18.992,   18.5187
        19,       361,      1800,   3240000,   4.35845,   5.94707,   1.97682,   6.55597,   261.475,    4904.2,   18.7559,   18.3122
        19,       361,      1900,   3610000,   4.85084,   5.95361,     2.199,   6.56664,   314.134,   5853.54,   18.6339,   18.2249
        19,       361,      2000,   4000000,   5.36453,    5.9651,   2.43576,    6.5688,   380.228,   6694.04,   17.6053,   17.2514
        19,       361,      2100,   4410000,   5.91202,    5.9675,   2.68453,   6.57097,   440.012,   7921.73,   18.0034,   17.6584
        20,       400,      1700,   2890000,   3.91335,   5.90798,   1.76492,   6.54987,   204.433,   4180.81,   20.4507,   19.8981
        20,       400,      1800,   3240000,   4.36006,   5.94487,   1.97564,   6.55991,   241.517,   4907.85,   20.3209,   19.8015
        20,       400,      1900,   3610000,    4.8477,   5.95746,   2.20046,   6.56228,   287.279,   5848.53,   20.3584,   19.8709
        20,       400,      2000,   4000000,   5.36516,   5.96441,   2.43499,   6.57088,   347.023,   6692.65,   19.2859,   18.8619
        20,       400,      2100,   4410000,   5.91014,    5.9694,   2.68349,   6.57353,   399.437,   7906.57,   19.7943,   19.3774
        21,       441,      1700,   2890000,   3.89484,   5.93607,   1.76268,   6.55818,   220.263,   4198.84,   19.0628,   18.5855
        21,       441,      1800,   3240000,   4.35726,   5.94869,   1.97549,   6.56038,   260.702,   4908.46,   18.8278,   18.3813
        21,       441,      1900,   3610000,    4.8491,   5.95575,   2.20074,   6.56143,   313.702,   5853.79,   18.6603,   18.2502
        21,       441,      2000,   4000000,   5.36908,   5.96006,   2.43792,   6.56297,   379.328,   6701.12,   17.6658,   17.3095
        21,       441,      2100,   4410000,   5.91189,   5.96763,   2.68496,   6.56994,   439.696,   7910.87,   17.9917,   17.6467
        22,       484,      1700,   2890000,   3.91027,   5.91264,   1.76303,   6.55688,    220.08,   4180.19,   18.9939,   18.5166
        22,       484,      1800,   3240000,   4.36006,   5.94487,   1.97717,   6.55482,   238.886,   4912.07,   20.5624,    20.031
        22,       484,      1900,   3610000,   4.84693,   5.95841,   2.19941,   6.56539,   310.155,   5851.02,   18.8648,   18.4458
        22,       484,      2000,   4000000,    5.3704,   5.95859,    2.4352,    6.5703,   377.985,   6690.03,   17.6992,   17.3411
        22,       484,      2100,   4410000,   5.91433,   5.96517,   2.68384,   6.57267,   438.935,    7921.1,   18.0462,   17.6994
        23,       529,      1700,   2890000,   3.89546,   5.93511,   1.76408,   6.55299,   215.565,   4178.96,   19.3861,   18.8901
        23,       529,      1800,   3240000,   4.35936,   5.94583,   1.97612,    6.5583,   268.775,   4908.07,   18.2609,   17.8404
        23,       529,      1900,   3610000,   4.88835,   5.90792,   2.19976,   6.56435,   321.776,   5845.95,   18.1677,   17.7762
        23,       529,      2000,   4000000,   5.36705,   5.96231,   2.43562,   6.56918,   391.865,   6694.15,   17.0828,   16.7493
        23,       529,      2100,   4410000,   5.90784,   5.97173,   2.68446,   6.57114,   407.906,   7919.19,   19.4142,   19.0137
        24,       576,      1700,   2890000,   3.89735,   5.93224,   1.76317,   6.55636,   195.439,   4183.22,   21.4042,   20.8017
        24,       576,      1800,   3240000,   4.35656,   5.94964,   1.97494,   6.56223,   227.589,   4908.33,   21.5666,   20.9829
        24,       576,      1900,   3610000,   4.85126,    5.9531,   2.20088,     6.561,    274.94,   5849.92,   21.2771,    20.745
        24,       576,      2000,   4000000,   5.36711,   5.96224,   2.43402,    6.5735,   327.028,   6687.32,   20.4488,   19.9723
        24,       576,      2100,   4410000,   5.90973,   5.96982,   2.70234,   6.52767,   385.762,   7962.49,    20.641,   20.1902
        25,       625,      1700,   2890000,   3.89581,   5.93458,   1.76415,   6.55272,    214.62,   4188.78,   19.5172,   19.0158
        25,       625,      1800,   3240000,   4.36124,   5.94326,   1.97515,   6.56154,   255.628,   4918.68,   19.2416,   18.7761
        25,       625,      1900,   3610000,   4.84707,   5.95824,   2.20004,   6.56352,   309.264,   5864.93,   18.9641,   18.5416
        25,       625,      2000,   4000000,   5.36746,   5.96185,   2.43583,   6.56861,   374.617,   6972.85,   18.6133,   18.2334
        25,       625,      2100,   4410000,   5.90701,   5.97257,   2.68488,   6.57011,    433.19,   7934.48,   18.3164,   17.9602
        26,       676,      1700,   2890000,   3.95371,   5.84767,   1.76646,   6.54417,   213.092,   4209.07,   19.7523,    19.236
        26,       676,      1800,   3240000,   4.35664,   5.94954,   2.00232,    6.4725,   254.775,   4958.53,   19.4624,   18.9885
        26,       676,      1900,   3610000,   4.84665,   5.95875,   2.20172,   6.55852,   307.036,   5883.62,   19.1626,   18.7326
        26,       676,      2000,   4000000,   5.36844,   5.96076,   2.43862,   6.56108,   368.212,   6709.19,    18.221,   17.8427
        26,       676,      2100,   4410000,   5.91014,    5.9694,    2.6851,    6.5696,   425.792,   7921.23,   18.6035,   18.2354
        27,       729,      1700,   2890000,   3.91076,   5.91189,   1.76276,   6.55791,   216.871,   4180.79,   19.2778,   18.7863
        27,       729,      1800,   3240000,   4.35866,   5.94678,   1.97556,   6.56015,    257.75,   4906.25,   19.0349,   18.5784
        27,       729,      1900,   3610000,   4.85272,    5.9513,   2.20095,   6.56081,   311.752,   5862.66,   18.8055,   18.3895
        27,       729,      2000,   4000000,   5.37005,   5.95898,   2.43785,   6.56315,   375.234,   6693.25,   17.8375,   17.4739
        27,       729,      2100,   4410000,   5.90867,   5.97088,   2.68314,   6.57439,    438.07,   7909.28,   18.0548,   17.7076
        28,       784,      1700,   2890000,    3.8956,   5.93489,   1.76457,   6.55117,   240.011,   4177.91,   17.4071,   17.0061
        28,       784,      1800,   3240000,   4.35915,   5.94611,   1.97606,   6.55852,   287.413,   4914.91,   17.1005,   16.7317
        28,       784,      1900,   3610000,   4.85342,   5.95044,    2.2006,   6.56185,   334.643,   5856.94,    17.502,   17.1407
        28,       784,      2000,   4000000,   5.36635,   5.96308,   2.43443,   6.57237,   399.613,   6692.72,    16.748,   16.4273
        28,       784,      2100,   4410000,   5.91196,   5.96756,   2.68628,    6.5667,   457.701,   7926.76,   17.3187,   16.9993
        29,       841,      1700,   2890000,   3.89302,   5.93883,   1.76471,   6.55066,   235.541,   4186.48,   17.7739,    17.357
        29,       841,      1800,   3240000,   4.35782,   5.94792,   1.97473,   6.56293,   281.394,   4905.98,   17.4346,   17.0509
        29,       841,      1900,   3610000,   4.85322,   5.95069,   2.26981,   6.36177,   328.523,    5866.1,   17.8559,    17.477
        29,       841,      2000,   4000000,   5.36789,   5.96138,    2.4917,   6.42132,   390.774,   6695.53,    17.134,   16.7962
        29,       841,      2100,   4410000,   5.91301,   5.96651,   2.68272,   6.57542,   456.989,    7920.1,    17.331,   17.0111
        30,       900,      1700,   2890000,   3.89399,   5.93735,   1.76373,   6.55429,   233.211,   4198.49,    18.003,   17.5766
        30,       900,      1800,   3240000,   4.35796,   5.94773,   1.97577,   6.55946,   274.082,   4907.34,   17.9046,   17.5002
        30,       900,      1900,   3610000,   4.85049,   5.95404,   2.20052,   6.56208,   326.798,   5852.68,   17.9091,   17.5309
        30,       900,      2000,   4000000,   5.36782,   5.96146,   2.43688,   6.56578,    385.91,   6694.17,   17.3464,   17.0026
        30,       900,      2100,   4410000,   5.91392,   5.96559,    2.6851,   6.56959,   447.686,   7925.53,   17.7033,   17.3697
        31,       961,      1700,   2890000,   3.89609,   5.93415,   1.76227,   6.55972,   226.397,   4193.27,   18.5218,   18.0701
        31,       961,      1800,   3240000,   4.35936,   5.94583,   1.97444,   6.56387,   271.781,    4908.4,   18.0601,   17.6488
        31,       961,      1900,   3610000,   4.87096,   5.92901,   2.19864,    6.5677,   320.545,   5851.32,   18.2543,   17.8604
        31,       961,      2000,   4000000,    5.3681,   5.96114,   2.43932,    6.5592,   381.005,   6693.79,   17.5688,    17.216
        31,       961,      2100,   4410000,   5.91357,   5.96594,   2.68558,    6.5684,    442.31,   7922.06,   17.9106,   17.5691
        32,      1024,      1700,   2890000,   3.89442,    5.9367,    1.7675,    6.5403,   214.088,   4198.25,   19.6099,   19.1046
        32,      1024,      1800,   3240000,   4.36061,   5.94412,    1.9778,   6.55274,   249.242,   4918.97,   19.7357,   19.2463
        32,      1024,      1900,   3610000,   4.88743,   5.90903,   2.20144,   6.55935,   296.362,   5853.72,   19.7519,   19.2905
        32,      1024,      2000,   4000000,   5.36796,    5.9613,    2.4352,   6.57031,   340.304,   6693.55,   19.6693,   19.2284
        32,      1024,      2100,   4410000,   5.91168,   5.96785,   2.68391,   6.57251,   407.105,    7924.2,   19.4648,   19.0623
         1,      1,         2200,   4840000,   6.41162,   6.03904,   2.95937,   6.54194,   35140.8,   8969.63,  0.255249,  0.25518
         1,      1,         2300,   5290000,   6.99305,   6.05172,   3.24935,   6.51206,   41033.1,   10501.8,  0.255934,  0.25587
         1,      1,         2400,   5760000,    7.6553,   6.01936,   3.53312,   6.52115,   48037.3,     11646,  0.242437,  0.242381
         1,      1,         2500,   6250000,   8.38361,   5.96402,   3.82947,   6.52833,   54329.7,     13553,  0.249458,  0.249402
         1,      1,         2600,   6760000,   8.96854,   6.02996,   4.93193,   5.48264,   62364.7,   14961.1,  0.239898,  0.239844
         1,      1,         2700,   7290000,   9.61033,   6.06847,    4.4394,   6.56846,     70212,   16932.7,  0.241165,  0.241117
         1,      1,         2800,   7840000,   10.5471,   5.94664,   10.0171,   3.13065,   79503.8,   18543.6,  0.233242,  0.233182
         1,      1,         2900,   8410000,   11.0695,   6.07798,   5.66332,   5.93998,   89121.2,   20940.8,  0.234969,  0.234925
         1,      1,         3000,   9000000,   11.8535,   6.07414,    5.4929,   6.55391,   98818.3,   22819.5,  0.230924,  0.230884
         8,        64,      2200,   4840000,   6.57331,   5.89049,   2.98346,   6.48911,   713.298,   9248.65,   12.9661,   12.7946
         8,        64,      2300,   5290000,   7.14783,   5.92068,   3.29789,   6.41622,   830.646,   10665.5,     12.84,   12.6805
         8,        64,      2400,   5760000,   7.79702,   5.90995,   3.70941,   6.21123,   947.618,   11869.2,   12.5253,    12.375
         8,        64,      2500,   6250000,   8.46876,   5.90405,   4.02126,   6.21696,   1071.08,   13593.1,   12.6911,   12.5448
         8,        64,      2600,   6760000,   9.20672,   5.87397,   4.32206,   6.25627,   1177.96,   15106.1,    12.824,   12.6783
         8,        64,      2700,   7290000,   9.92197,   5.87786,   4.60604,   6.33081,   1344.56,     17158,   12.7611,   12.6247
         8,        64,      2800,   7840000,   10.6803,   5.87252,   4.96511,   6.31607,   1467.71,   18673.4,   12.7228,   12.5886
         8,        64,      2900,   8410000,   11.2993,   5.95433,   5.38061,   6.25208,   1663.28,   21189.3,   12.7395,    12.613
         8,        64,      3000,   9000000,   12.0886,   5.95604,   5.67003,   6.34918,   1804.97,   23276.4,   12.8957,   12.7701
         8,        64,      3100,   9610000,    12.896,   5.96153,   6.25154,   6.14889,   2038.65,   26146.8,   12.8255,   12.7062
         8,        64,      3200,  10240000,   13.7872,   5.94174,   6.50716,    6.2946,   2254.87,   27914.6,   12.3797,   12.2693
         8,        64,      3300,  10890000,   14.5687,   5.97993,   6.93439,   6.28174,    2459.8,   31269.8,   12.7124,   12.6022
         8,        64,      3400,  11560000,    15.868,   5.82807,   7.35037,   6.29084,   2626.47,     33299,   12.6783,   12.5672
         8,        64,      3500,  12250000,   16.1404,   6.07172,   7.45988,   6.56847,   2920.64,   36643.4,   12.5464,   12.4458
         8,        64,      3600,  12960000,   17.0676,   6.07468,   10.3424,   5.01236,   3144.06,   39190.4,   12.4649,   12.3572
         8,        64,      3700,  13690000,    17.997,   6.08547,   8.31098,   6.58887,   3446.19,   43256.5,    12.552,   12.4569
         8,        64,      3800,  14440000,   18.9847,   6.08489,   8.76028,   6.59339,   3671.57,   46209.6,   12.5858,   12.4914
         8,        64,      3900,  15210000,   19.9801,   6.09005,   11.7164,   5.19271,   4064.49,   51015.8,   12.5516,   12.4545
         8,        64,      4000,  16000000,   21.0196,   6.08955,   9.70365,   6.59546,   4444.18,   54209.8,   12.1979,   12.1142
        16,       256,      2200,   4840000,   6.57931,   5.88512,   3.10736,   6.23036,   411.211,   9178.88,   22.3216,   21.8078
        16,       256,      2300,   5290000,   7.03922,   6.01203,   3.39177,   6.23864,   473.227,     10572,   22.3403,   21.8585
        16,       256,      2400,   5760000,    7.7146,   5.97309,   3.68517,   6.25208,   517.784,   11746.5,   22.6861,   22.1974
        16,       256,      2500,   6250000,   8.37231,   5.97207,   3.83213,   6.52379,   606.802,   13618.1,   22.4423,   21.9999
        16,       256,      2600,   6760000,   8.98943,   6.01595,   4.11792,   6.56643,   676.051,     15101,   22.3371,   21.9123
        16,       256,      2700,   7290000,   9.74625,   5.98384,   4.61596,   6.31721,   800.141,   17222.1,   21.5238,   21.1443
        16,       256,      2800,   7840000,   10.5604,   5.93917,   4.82906,   6.49402,   804.426,   18663.6,   23.2012,   22.7656
        16,       256,      2900,   8410000,   11.1763,    6.0199,   5.36566,    6.2695,   974.986,   21209.7,   21.7538,   21.3909
        16,       256,      3000,   9000000,   11.9817,   6.00916,   5.75104,   6.25973,   1027.23,   23228.3,   22.6125,   22.2288
        16,       256,      3100,   9610000,   12.8972,   5.96099,   5.93955,   6.47187,   1159.85,   25947.8,   22.3718,   22.0142
        16,       256,      3200,  10240000,   13.7551,   5.95562,   6.30217,   6.49935,   1185.01,   27832.7,   23.4873,   23.0963
        16,       256,      3300,  10890000,   14.7538,   5.90491,   8.66809,   5.02533,   1410.05,   30914.4,   21.9243,   21.5661
        16,       256,      3400,  11560000,   15.2095,   6.08039,    7.0159,   6.59074,   1489.27,   33196.2,   22.2903,   21.9626
        16,       256,      3500,  12250000,   16.1088,   6.08362,   7.43313,   6.59211,   1711.48,   36622.4,   21.3981,   21.1078
        16,       256,      3600,  12960000,   17.0375,   6.08539,   7.86315,   6.59277,   1695.06,   39041.3,   23.0324,   22.6989
        16,       256,      3700,  13690000,   18.0106,   6.08087,   8.30721,   6.59186,   2056.28,   43448.6,   21.1297,   20.8627
        16,       256,      3800,  14440000,   18.9914,   6.08274,   10.2907,   5.61281,   2139.52,   46618.8,   21.7894,   21.4952
        16,       256,      3900,  15210000,   20.0001,   6.08397,   12.6462,   4.81094,   2386.42,   50832.8,   21.3009,   21.0134
        16,       256,      4000,  16000000,   21.0364,    6.0847,    9.7056,   6.59413,    2391.2,   53885.5,    22.535,   22.2489
        32,      1024,      2200,   4840000,   6.42404,   6.02736,   2.94722,    6.5689,   451.652,    8987.2,   19.8985,    19.494
        32,      1024,      2300,   5290000,   6.99536,   6.04973,   3.23483,    6.5413,   523.938,   10507.4,   20.0547,   19.6706
        32,      1024,      2400,   5760000,   7.61242,   6.05327,   3.50016,   6.58256,   558.681,   11618.3,   20.7959,   20.3903
        32,      1024,      2500,   6250000,   8.25692,   6.05553,   3.79943,   6.57993,   686.058,   13451.1,   19.6064,   19.2678
        32,      1024,      2600,   6760000,    8.9376,   6.05084,   4.11924,   6.56431,   744.196,   14939.1,   20.0741,    19.728
        32,      1024,      2700,   7290000,   9.63303,   6.05417,   4.43975,   6.56794,   870.373,   17016.3,   19.5506,   19.2395
        32,      1024,      2800,   7840000,   10.3529,    6.0582,   4.77116,   6.57283,   912.067,   18470.5,   20.2512,   19.9209
        32,      1024,      2900,   8410000,   11.1015,   6.06046,   5.18267,   6.49087,    1054.2,   20964.9,    19.887,   19.5844
        32,      1024,      3000,   9000000,   11.9218,   6.03933,   5.50646,   6.53778,   1147.21,   22783.3,   19.8598,   19.5626
        32,      1024,      3100,   9610000,   12.6522,   6.07642,   5.83318,   6.58989,   1289.51,   25511.5,   19.7839,   19.5043
        32,      1024,      3200,  10240000,   13.5669,   6.03822,   6.24218,   6.56181,   1333.87,   27472.9,   20.5964,    20.295
        32,      1024,      3300,  10890000,   14.3391,    6.0757,   6.61326,   6.58677,      1576,   30827.2,   19.5604,   19.3037
        32,      1024,      3400,  11560000,   15.2098,   6.08031,   7.04076,   6.56747,   1687.71,   33288.3,   19.7239,   19.4672
        32,      1024,      3500,  12250000,   16.1134,   6.08188,   7.43397,   6.59137,   1859.21,     36735,   19.7584,   19.5113
        32,      1024,      3600,  12960000,   17.0697,    6.0739,   7.86959,   6.58738,      1960,   39227.7,   20.0141,   19.7626
        32,      1024,      3700,  13690000,   18.0049,    6.0828,    8.3091,   6.59036,      2189,   43400.7,   19.8267,   19.5912
        32,      1024,      3800,  14440000,   18.9784,   6.08692,   8.76169,   6.59234,   2326.21,   46342.3,   19.9218,    19.687
        32,      1024,      3900,  15210000,   19.9915,   6.08658,     9.229,   6.59226,   2566.92,   50911.9,   19.8339,   19.6106
        32,      1024,      4000,  16000000,   21.0339,   6.08542,   9.70351,   6.59555,   2628.27,   54019.9,   20.5535,   20.3159
